rgiid,year,dhdt,Area,Zmed,t2m,tp
RGI60-13.00000,2000,-0.07760456225271396,62.36857178736514,4516.635319256156,-3.0994585650322515,897.368029059364
RGI60-13.00000,2001,0.0769993649462639,62.36857178736514,4516.635319256156,-5.502615408234782,961.1397019903529
RGI60-13.00000,2002,0.04387879583390023,62.36857178736514,4516.635319256156,-3.9001613890051465,650.3859378955672
RGI60-13.00000,2003,0.03379794978972023,62.36857178736514,4516.635319256156,-2.886649677485262,843.8651200806645
RGI60-13.00000,2004,-0.01893991007594223,62.36857178736514,4516.635319256156,-3.198988789297545,427.2387217847769
RGI60-13.00000,2005,0.070152879747336,62.36857178736514,4516.635319256156,-4.8506591209947985,1027.631171992582
RGI60-13.00001,2000,-0.023394380361161662,61.13084372665916,4263.5779043896055,-2.5329503935911637,1093.1211213221977
RGI60-13.00001,2001,0.0382808310371276,61.13084372665916,4263.5779043896055,-4.362560260585876,666.7210037270343
RGI60-13.00001,2002,0.09241082965107938,61.13084372665916,4263.5779043896055,-3.384720866084814,883.0489532424547
RGI60-13.00001,2003,-0.022079670746813038,61.13084372665916,4263.5779043896055,-4.307698019661538,525.825358138152
RGI60-13.00001,2004,-0.050035546283726896,61.13084372665916,4263.5779043896055,-3.020824692909405,389.4713590842857
RGI60-13.00001,2005,0.042598810513381026,61.13084372665916,4263.5779043896055,-4.708187772355034,426.9093490508841
RGI60-13.00002,2000,0.035539486055977225,36.0978496720418,5698.034588173512,-5.4054342044350445,512.366641382041
RGI60-13.00002,2001,0.01587538450450738,36.0978496720418,5698.034588173512,-3.6614064123199364,587.4783790301744
RGI60-13.00002,2002,-0.014482921580468246,36.0978496720418,5698.034588173512,-2.8342854664621724,339.7524836093098
RGI60-13.00002,2003,0.06704750419691438,36.0978496720418,5698.034588173512,-3.73890511661333,986.9243775021384
RGI60-13.00002,2004,0.08442430662571876,36.0978496720418,5698.034588173512,-5.5085869838268,980.7290310219679
RGI60-13.00002,2005,0.07529462780754395,36.0978496720418,5698.034588173512,-4.466653417892011,339.79699812765745
RGI60-13.00003,2000,0.11552344778964008,54.13543101965679,4613.2886184293975,-6.019443725938966,964.9988574160255
RGI60-13.00003,2001,0.02688201053483441,54.13543101965679,4613.2886184293975,-3.236533202368866,759.2071607454135
RGI60-13.00003,2002,0.05683576560760354,54.13543101965679,4613.2886184293975,-4.298470086698125,636.7173892323624
RGI60-13.00003,2003,0.0018084251306359003,54.13543101965679,4613.2886184293975,-4.049565189857938,1053.4030732681663
RGI60-13.00003,2004,0.035557623000944005,54.13543101965679,4613.2886184293975,-4.863342743201933,481.38389202199653
RGI60-13.00003,2005,-0.011463338856181431,54.13543101965679,4613.2886184293975,-2.871417575118678,757.0321523412783
RGI60-13.00004,2000,-0.0451572744041957,53.81645614553623,4419.1605843202115,-3.451869714931106,366.9729199077039
RGI60-13.00004,2001,0.06639224467027126,53.81645614553623,4419.1605843202115,-4.3980854727979946,922.3593505964503
RGI60-13.00004,2002,0.05001995249622198,53.81645614553623,4419.1605843202115,-4.443282808243269,701.0447751033635
RGI60-13.00004,2003,-0.018109620884510007,53.81645614553623,4419.1605843202115,-3.284162588764067,646.1562755740307
RGI60-13.00004,2004,-0.03250063495975354,53.81645614553623,4419.1605843202115,-4.267957974452984,830.2825931188885
RGI60-13.00004,2005,-0.004979071249446236,53.81645614553623,4419.1605843202115,-5.436534966907705,318.0059021205153
RGI60-13.00005,2000,0.06315759262933776,72.86929387519335,5299.121401432249,-4.4537950648472675,1169.176377347724
RGI60-13.00005,2001,-0.021353022004497228,72.86929387519335,5299.121401432249,-3.0549813178394962,649.3615021437887
RGI60-13.00005,2002,0.12551265754237007,72.86929387519335,5299.121401432249,-5.020026465892697,1102.6023965438417
RGI60-13.00005,2003,0.08422462581374446,72.86929387519335,5299.121401432249,-5.892784507830818,505.9566241506525
RGI60-13.00005,2004,0.07195983518953271,72.86929387519335,5299.121401432249,-4.472979946836153,1056.6142840923756
RGI60-13.00005,2005,0.031171436797948263,72.86929387519335,5299.121401432249,-4.3353912508765635,632.0930397751038
RGI60-13.00006,2000,0.06754675226928232,47.559641575193375,5149.5398046644605,-5.228196991146238,615.8074021706096
RGI60-13.00006,2001,-0.03602674076085052,47.559641575193375,5149.5398046644605,-2.308974909711476,529.8612123327853
RGI60-13.00006,2002,-0.06174181892034991,47.559641575193375,5149.5398046644605,-2.124036530536526,787.644572177712
RGI60-13.00006,2003,0.006529032859455899,47.559641575193375,5149.5398046644605,-4.93189112968663,781.061139700395
RGI60-13.00006,2004,-0.10958888381729087,47.559641575193375,5149.5398046644605,-2.997818863822715,222.8038710296975
RGI60-13.00006,2005,0.11079360035315955,47.559641575193375,5149.5398046644605,-4.9186948974490505,982.7352272502862
RGI60-13.00007,2000,-0.07922759340612252,39.959349805376505,4672.120983063563,-3.5027086800688045,771.7280523760754
RGI60-13.00007,2001,-0.02571144220758871,39.959349805376505,4672.120983063563,-3.618746245187397,531.5689973425522
RGI60-13.00007,2002,0.04359745101307976,39.959349805376505,4672.120983063563,-4.614516158871769,221.61207988033044
RGI60-13.00007,2003,-0.06538105299521244,39.959349805376505,4672.120983063563,-3.631541719065586,340.2490889986108
RGI60-13.00007,2004,0.09128579891867075,39.959349805376505,4672.120983063563,-5.769619533645228,872.2400930398117
RGI60-13.00007,2005,-0.006230466745384564,39.959349805376505,4672.120983063563,-1.5784841037041408,968.647491917657
RGI60-13.00008,2000,0.13996831058933132,73.44892392073342,3890.6419726846425,-5.158140114678846,754.8524693914834
RGI60-13.00008,2001,0.030847690895933748,73.44892392073342,3890.6419726846425,-4.925664015069263,1008.2514720643018
RGI60-13.00008,2002,-0.056411735668985954,73.44892392073342,3890.6419726846425,-2.762112384550907,490.91783814011865
